geoid,period,Health Care Center (/100k pop),HIV
6085,2012,2.2857118,8.8
6087,2012,4.2417712,9.2
6089,2012,4.2330294,2.24
6091,2012,11.3849736,0
6093,2012,6.0197014,9.06
6095,2012,2.388306,11.2
6097,2012,3.3743252,9.9
6099,2012,3.9158294,7.4
6101,2012,4.5877834,3.16
6103,2012,3.552056,4.73
6105,2012,0,0
6107,2012,4.5116534,8.4
6109,2012,3.8487168,7.41
6111,2012,3.5942946,6.7
6113,2012,3.7037218,7.5
6115,2012,5.2368942,5.49
8001,2012,2.4682546,11.8
8003,2012,9.9540682,18.58
8005,2012,1.83255636,10.5
8007,2012,0,33.14
8009,2012,0,0
8011,2012,8.323945,0
8013,2012,2.5594036,3.8
8014,2012,0,6.86
8015,2012,0,16.53
8017,2012,0,0
8019,2012,6.6570578,33.24
8021,2012,6.95258,48.34
8023,2012,10.5497208,0
8025,2012,0,0
8027,2012,0,0
8029,2012,0,0
8031,2012,2.971383,27.5
8033,2012,14.1633968,0
8035,2012,0,4.7
8037,2012,2.7768674,7.71
8039,2012,0,12.83
8041,2012,3.0500564,4.4
8043,2012,2.9239016,12.1
8045,2012,3.7478888,7.02
8047,2012,8.5350152,54.63
8049,2012,0,0
8051,2012,0,0
8053,2012,0,0
8055,2012,7.7873498,0
8057,2012,0,0
8059,2012,1.71284926,5.6
8061,2012,0,0
8063,2012,7.0298876,37.06
8065,2012,0,0
8067,2012,0,7.63
8069,2012,1.96593392,3.4
8071,2012,0,0
8073,2012,12.112317,0
8075,2012,4.2041492,0
8077,2012,0,7.3
8079,2012,0,0
8081,2012,5.504819,0
8083,2012,3.9659596,0
8085,2012,0,0
8087,2012,3.748185,0
8089,2012,6.541049,21.39
8091,2012,0,0
8093,2012,4.9954748,0
8095,2012,0,0
8097,2012,0,0
8099,2012,9.841754,0
8101,2012,3.526158,5.2
8103,2012,0,43.75
8105,2012,8.1844272,25.12
8107,2012,0,0
8109,2012,7.9656624,0
8111,2012,0,0
8113,2012,7.264327,0
8115,2012,0,0
8117,2012,0,14.26
8119,2012,7.1628328,17.1
8121,2012,0,0
8123,2012,2.7540216,2.8
8125,2012,0,39.53
9001,2012,3.2062734,9.8
9003,2012,3.0597134,11.7
9005,2012,2.5296196,2.13
9007,2012,2.6918934,4.9
9009,2012,2.8887362,13.1
9011,2012,3.6236086,6
9013,2012,1.6246798,2.64
9015,2012,3.6885712,3.4
10001,2012,1.5447539,19.6
10003,2012,1.91376436,20.1
10005,2012,2.4289906,10.4
11001,2012,4.9028916,103.1
12001,2012,2.1847074,22.4
12003,2012,0,14.77
12005,2012,1.5254159,11.7
12007,2012,3.8455138,11.09
12009,2012,1.91161084,13.1
12011,2012,1.24200774,43.7
12013,2012,0,20.38
12015,2012,1.56917536,7.5
12017,2012,2.9344152,5.6
12019,2012,1.43464124,13.1
12021,2012,3.2908122,11.8
12023,2012,2.425963,15.8
12027,2012,4.8007068,16.9
12029,2012,4.9804282,24.8
12031,2012,1.65181922,43.2
12033,2012,2.2990214,19.1
12035,2012,0,11.7
12037,2012,5.850555,49.1
12039,2012,2.9320598,33.6
12041,2012,6.8975768,17.84
12043,2012,5.524314,30.52
12045,2012,7.1342178,25.45
12047,2012,0,27.2
12049,2012,5.3922266,14.54
12051,2012,4.6220694,16.6
12053,2012,0,4
12055,2012,2.8552788,4.08
12057,2012,2.3737994,24.6
12059,2012,0,15.15
12061,2012,2.9217896,11.4
12063,2012,0,32.9
12065,2012,0,28.06
12067,2012,6.740467,45.43
12069,2012,1.1486175,10
12071,2012,2.9458832,16
12073,2012,2.3745292,31.4
12075,2012,3.16129,9.99
12077,2012,9.8318386,48.33
12079,2012,4.5995856,15.87
12081,2012,4.3780932,13.3
12083,2012,1.54504656,13.5
12085,2012,1.63947094,5.3
12086,2012,2.6357222,51.9
12087,2012,2.3123474,30.1
12089,2012,0,4.02
12091,2012,2.0515086,10.7
12093,2012,4.5022326,7.6
12095,2012,1.91307426,43
12097,2012,0,14.8
12099,2012,1.95787322,22.2
12101,2012,1.84429538,11
12103,2012,1.47336376,21.4
12105,2012,1.61143922,16.9
12107,2012,5.2248358,19.6
12109,2012,1.98914898,8.8
12111,2012,2.3741236,16.7
12113,2012,1.58854282,13.6
12115,2012,1.76284564,8.7
12117,2012,0.96354722,9.6
12119,2012,1.98399424,17.8
12121,2012,3.0269694,19
12123,2012,0,17.59
12125,2012,0,60.7
12127,2012,1.55394006,12.5
12129,2012,3.6026974,9.73
12131,2012,0,12.3
12133,2012,0,12.05
13001,2012,0,39.9
13003,2012,12.0356788,48.29
13005,2012,0,26.79
13007,2012,10.901166,118.84
13009,2012,0,8.63
13011,2012,4.6732034,33.2
13013,2012,2.3875768,16.1
13015,2012,0,20.8
13017,2012,0,42.3
13019,2012,0,38
13021,2012,1.5989157,45.4
13023,2012,5.5656566,30.98
13025,2012,4.6390104,16.14
13027,2012,0,38.2
13029,2012,0,12.42
13031,2012,3.3173838,36.8
13033,2012,0,43.1
13035,2012,0,86.2
13037,2012,7.8422328,0
13039,2012,0,14.4
13043,2012,5.9984108,26.99
13045,2012,1.89337576,12
13047,2012,0,14.9
13049,2012,7.7571254,0
13051,2012,2.0835066,34.3
13053,2012,0,0
13055,2012,0,15.55
13057,2012,1.34438776,10.1
13059,2012,2.5791318,18.3
13061,2012,0,128.37
13063,2012,0,82.3
13065,2012,0,59.54
13067,2012,1.68139434,27.8
13069,2012,3.04396,9.27
13071,2012,0,38.1
13073,2012,0,16.7
13075,2012,0,23.64
13077,2012,0,15.1
13079,2012,5.6343618,31.75
13081,2012,5.821485,56.7
13083,2012,4.9251524,0
13085,2012,0,17.84
13087,2012,0,44.3
13089,2012,2.127345,82.6
13091,2012,6.1243462,14.07
13093,2012,7.474873,0
13095,2012,5.0394998,59.7
13097,2012,0,14.9
13099,2012,6.1446906,28.32
13101,2012,0,100.3
13103,2012,0,11.6
13105,2012,4.5078902,20.32
13107,2012,4.1795664,37.8
13109,2012,0,37.42
13111,2012,7.1471128,0
13113,2012,0,19.9
13115,2012,0,6.3
13117,2012,2.0632376,4.8
