geoid,1980,1990,2000,2010,Sequence
06037125600,2,2,2,2,1
06037127102,4,4,4,4,1
06037127103,4,4,4,1,0
06037127104,4,4,4,4,1
06037127210,4,4,4,4,1
06037127220,4,4,4,4,1
06037127300,4,4,4,4,1
06037127400,4,4,4,1,0
06037127603,4,4,4,4,1
06037127604,4,4,4,4,1
06037127605,3,4,4,4,0
06037127606,3,4,4,4,0
06037127711,4,4,4,4,1
06037127712,4,4,4,4,1
06037127803,2,4,4,4,0
06037127804,2,4,4,4,0
06037127805,2,4,4,4,0
06037127806,2,4,4,4,0
06037127910,3,4,4,4,0
06037127920,3,4,4,4,0
06037128101,3,4,4,3,2
06037128102,3,4,4,4,0
06037128210,4,4,1,4,2
06037128220,4,4,4,4,1
06037128302,4,1,1,1,0
06037128303,4,1,1,4,2
06037128400,3,3,3,3,3
06037128500,2,2,2,2,1
06037128601,2,2,3,4,2
06037128602,2,2,4,2,2
06037128702,2,2,2,2,1
06037128801,2,2,2,2,1
06037128802,2,2,2,2,1
06037128910,2,2,2,2,1
06037131010,3,4,4,4,0
06037131020,3,4,4,4,0
06037131100,3,3,3,3,3
06037131200,3,3,3,3,3
06037131300,3,3,3,3,3
06037131400,3,3,3,4,0
06037131600,3,3,3,3,3
06037131701,4,3,3,4,2
06037131702,4,3,3,4,2
06037131800,3,3,3,4,0
06037131900,3,3,3,3,3
06037132001,3,3,3,3,3
06037132002,3,3,3,3,3
06037132101,3,4,3,3,2
06037132102,3,4,4,3,2
06037132300,3,4,4,4,0
06037132501,3,3,3,4,0
06037132502,3,3,3,4,0
06037132700,3,3,3,4,0
06037132900,3,3,3,3,3
06037133000,3,3,3,4,0
06037133100,3,3,3,3,3
06037134001,3,4,4,1,2
06037134002,3,4,4,1,2
06037134101,3,3,3,3,3
06037134103,3,3,3,4,0
06037134104,3,3,4,4,0
06037134201,3,3,3,3,3
06037134302,3,3,3,3,3
06037134303,3,3,3,3,3
06037134304,3,4,3,3,2
06037134305,3,4,1,1,2
06037134306,3,4,4,4,0
06037134421,3,3,3,3,3
06037134422,3,3,3,3,3
06037134423,3,3,3,3,3
06037134424,3,3,3,2,0
06037134520,4,4,4,4,1
06037134521,4,4,1,1,0
06037134522,4,4,1,4,2
06037134710,3,4,4,1,2
06037134720,3,4,3,4,2
06037134800,3,3,3,3,3
06037134901,3,3,3,3,3
06037134904,3,4,4,4,0
06037134905,3,4,4,2,2
06037135102,3,3,3,3,3
06037135111,2,3,3,3,0
06037135113,2,2,2,4,0
06037135114,2,2,2,4,0
06037135201,3,3,3,3,3
06037135202,3,3,3,3,3
06037135203,3,3,3,3,3
06037137103,2,2,2,2,1
06037137104,2,2,2,2,1
06037137201,2,2,2,3,0
06037137301,3,2,2,2,0
06037137302,3,3,2,2,0
06037137401,3,2,2,3,2
06037137402,3,2,2,2,0
06037137501,2,2,2,2,1
06037137502,3,2,2,2,0
06037137504,2,2,2,2,1
06037138000,2,2,2,2,1
06037139001,3,2,2,2,0
06037139200,2,2,2,4,0
06037139301,2,2,2,2,1
06037139302,2,4,4,4,0
06037139303,2,2,4,4,0
06037139401,2,2,2,4,0
06037139402,2,2,2,2,1
06037139502,2,2,2,2,1
06037139503,2,2,2,4,0
06037139504,2,2,2,2,1
06037139600,2,2,2,2,1
06037139701,2,2,2,2,1
06037139702,2,2,2,2,1
06037139703,2,2,2,2,1
06037139801,2,2,2,2,1
06037139802,2,2,2,2,1
06037141101,2,2,2,2,1
06037141102,2,2,2,2,1
06037141201,2,2,2,2,1
06037141202,2,2,2,2,1
06037141302,2,2,2,2,1
06037141303,2,2,2,2,1
06037141304,2,2,2,2,1
06037141400,2,2,2,2,1
06037141500,2,2,2,2,1
06037141600,2,2,2,2,1
06037141700,2,2,2,2,1
06037143100,2,2,2,2,1
06037143200,2,2,2,4,0
06037143300,2,2,2,2,1
06037143400,2,2,2,2,1
06037143500,2,2,2,2,1
06037143602,2,2,2,2,1
06037143603,2,2,2,2,1
06037143604,2,2,2,4,0
06037143700,2,2,2,2,1
06037143800,2,2,2,2,1
06037143901,2,2,2,2,1
06037143902,2,2,2,2,1
06037181000,3,3,3,3,3
06037181300,3,3,3,3,3
06037181400,3,4,4,4,0
06037181500,3,3,3,3,3
06037181600,3,3,3,3,3
06037183101,1,1,3,3,0
06037183103,4,4,4,4,1
06037183104,4,4,4,3,0
06037183220,4,4,1,1,0
06037183221,4,4,3,3,0
06037183222,4,4,3,3,0
06037183300,1,1,1,3,0
06037183401,3,4,4,3,2
06037183402,3,4,4,4,0
06037183510,1,1,1,1,1
06037183520,1,1,1,1,1
06037183610,1,1,1,1,1
06037183620,1,1,1,1,1
06037183701,4,4,4,4,1
06037183702,4,4,4,3,0
06037183810,1,1,1,1,1
06037183820,1,1,1,1,1
06037185100,3,3,3,3,3
06037185202,1,1,4,1,2
06037185203,1,1,3,1,2
06037185204,1,1,3,3,0
06037185310,1,1,1,1,1
06037185320,1,1,1,1,1
06037186100,3,3,3,3,3
06037186201,3,3,3,4,0
06037186202,3,3,3,4,0
06037186203,3,3,3,3,3
06037186301,1,1,1,4,0
06037186302,4,3,3,3,0
06037186401,1,1,1,1,1
06037186403,1,1,1,3,0
06037186404,1,1,1,4,0
06037187101,4,4,4,3,0
06037187102,4,4,4,4,1
06037187200,1,1,1,1,1
06037187300,4,4,2,2,0
06037188100,4,4,4,4,1
06037188201,2,2,2,2,1
06037188202,2,2,2,2,1
06037188300,3,3,3,2,0
06037189101,2,2,2,2,1
06037189102,2,2,2,2,1
06037189201,2,2,2,2,1
06037189202,2,2,2,2,1
06037189300,2,2,2,2,1
06037189400,2,2,2,2,1
06037189500,2,2,2,2,1
06037189600,2,2,2,2,1
06037189701,2,2,2,2,1
06037189702,2,2,2,2,1
06037189800,2,2,2,2,1
06037189902,2,4,2,2,2
06037189903,2,2,2,2,1
06037189905,2,2,2,2,1
06037190100,4,4,2,2,0
06037190202,2,4,4,4,0
06037190301,4,4,4,4,1
06037190510,4,4,4,4,1
06037190520,4,4,4,4,1
06037190700,4,4,4,4,1
06037190801,4,4,4,4,1
06037190802,4,4,4,4,1
06037190901,4,4,4,4,1
06037190902,4,4,4,4,1
06037191000,4,4,4,4,1
06037191110,4,4,4,4,1
06037191120,4,4,4,4,1
06037191201,4,4,4,4,1
06037191203,4,4,4,4,1
06037191204,4,4,4,4,1
06037191301,4,4,4,4,1
06037191302,4,4,4,4,1
06037191410,4,4,4,4,1
06037191420,4,4,4,4,1
06037191500,4,4,4,4,1
06037191610,4,4,4,4,1
06037191620,4,4,4,4,1
06037191710,4,4,4,4,1
06037191720,4,4,4,4,1
06037191810,4,4,4,4,1
06037191820,4,4,4,4,1
06037191901,4,2,4,2,2
06037191902,4,2,4,2,2
06037192001,2,2,2,2,1
06037192002,2,2,2,2,1
06037192300,2,2,2,2,1
06037192410,4,4,2,2,0
06037192420,4,4,4,4,1
06037192510,4,4,4,4,1
06037192520,4,4,4,4,1
06037192610,4,4,4,4,1
06037192620,4,4,4,4,1
06037192700,4,4,4,4,1
06037194101,2,2,2,2,1
06037194102,2,2,2,2,1
06037194200,2,2,2,2,1
06037194300,2,2,2,2,1
06037194401,2,2,2,2,1
06037194402,2,2,2,2,1
06037194500,2,2,2,2,1
06037195100,2,2,2,2,1
06037195201,2,2,2,2,1
06037195202,2,2,2,2,1
06037195300,4,4,4,2,0
06037195400,4,4,2,2,0
06037195500,4,4,4,3,0
06037195600,4,4,4,4,1
06037195710,4,4,1,4,2
06037195720,4,4,4,4,1
06037195802,4,4,4,4,1
06037195803,4,4,4,4,1
06037195804,4,4,4,4,1
06037195901,4,4,4,4,1
06037195902,4,4,4,2,0
06037195903,4,4,4,4,1
06037197200,4,4,3,4,2
06037197300,4,4,4,3,0
06037197410,4,4,4,3,0
06037197420,4,4,4,4,1
06037197500,4,4,4,4,1
06037197600,1,4,4,4,0
06037197700,4,4,4,4,1
06037199000,1,1,1,4,0
06037199110,1,1,1,1,1
06037199120,1,1,1,4,0
06037199201,1,1,1,1,1
06037199202,1,1,1,1,1
06037199300,1,1,1,3,0
06037199400,1,1,1,1,1
06037199700,1,1,1,1,1
06037199800,1,1,1,1,1
06037199900,1,1,1,1,1
06037201110,1,1,1,1,1
06037201120,1,1,1,1,1
06037201200,1,1,1,1,1
06037201301,1,1,1,1,1
06037201302,1,4,4,2,2
06037201401,1,1,1,1,1
06037201402,1,3,3,1,2
06037201501,1,1,1,1,1
06037201503,1,1,1,1,1
06037201504,1,1,1,1,1
06037201601,1,1,1,1,1
06037201602,1,1,1,1,1
06037201700,1,4,4,4,0
06037203100,1,1,1,1,1
06037203200,1,1,1,1,1
06037203300,4,1,1,1,0
06037203500,1,1,1,4,0
06037203600,1,1,1,1,1
06037203710,1,1,1,1,1
06037203720,1,1,1,1,1
06037203800,1,1,1,1,1
06037203900,1,1,1,1,1
06037204110,1,1,1,1,1
06037204120,1,1,1,1,1
06037204200,1,1,1,1,1
06037204300,1,1,1,1,1
06037204410,1,1,1,1,1
06037204420,1,1,1,1,1
06037204600,1,1,1,1,1
06037204700,1,1,1,1,1
06037204810,1,1,1,1,1
06037204820,1,1,1,1,1
06037204910,1,1,1,1,1
06037204920,1,1,1,1,1
06037205120,1,1,1,1,1
06037206010,4,4,4,4,1
06037206031,1,1,4,4,0
06037206032,1,1,4,4,0
06037206050,1,1,4,1,2
06037206200,4,4,0,4,2
06037207103,4,4,4,4,1
06037207501,2,2,2,2,1
06037207710,4,4,4,4,1
06037207900,1,4,4,4,0
06037208000,1,1,1,4,0
06037208301,4,1,1,1,0
06037208302,4,1,1,1,0
06037208401,4,4,4,1,0
06037208402,4,4,4,4,1
06037208501,4,4,4,4,1
06037208502,4,4,4,4,1
06037208610,4,4,4,4,1
06037208620,4,4,4,4,1
06037208710,4,4,4,4,1
06037208720,4,4,1,4,2
06037208802,4,4,4,4,1
06037208903,4,1,1,1,0
06037209102,1,1,1,1,1
06037209200,4,1,1,4,2
06037209300,4,1,1,4,2
06037209402,1,1,1,1,1
06037209520,4,4,1,1,0
06037209810,1,1,4,4,0
06037209820,1,1,1,1,1
06037210010,1,1,1,1,1
06037211000,2,2,2,2,1
06037211120,4,4,4,4,1
06037211121,4,4,4,4,1
06037211122,4,4,4,4,1
06037211201,4,4,4,4,1
06037211202,4,4,4,4,1
06037211310,4,4,1,4,2
06037211320,4,4,4,4,1
06037211410,4,4,4,4,1
06037211420,4,4,4,4,1
06037211500,2,2,4,4,0
06037211701,2,2,4,4,0
06037211703,2,4,4,4,0
06037211704,2,4,4,4,0
06037211802,4,4,4,4,1
06037211803,4,4,4,4,1
06037211910,4,4,4,4,1
06037211922,4,4,4,4,1
06037212101,4,4,4,4,1
06037212202,4,4,1,4,2
06037212203,4,1,1,4,2
06037212204,4,1,1,4,2
06037212306,4,4,4,4,1
06037212410,4,4,4,4,1
06037212420,4,4,4,4,1
06037212502,4,4,4,4,1
06037212610,4,4,4,4,1
06037212620,4,4,4,4,1
06037212701,4,4,4,4,1
06037212702,4,4,4,2,0
06037212800,4,4,4,4,1
06037212900,4,4,4,4,1
06037213100,4,4,4,4,1
06037213201,4,4,4,4,1
06037213202,4,4,4,4,1
06037213310,4,4,4,4,1
06037213320,4,4,4,4,1
06037213401,4,4,4,4,1
06037213402,4,4,4,4,1
06037214000,2,2,2,2,1
06037214100,2,2,2,2,1
06037214400,2,2,2,2,1
06037214501,2,2,2,2,1
06037214600,2,2,2,2,1
06037214700,2,2,2,2,1
06037214800,2,2,2,2,1
06037214901,2,2,2,2,1
06037214902,2,2,2,2,1
06037216100,2,2,2,2,1
06037216200,4,2,2,2,0
06037216300,2,2,2,2,1
06037216401,2,2,2,2,1
06037216402,2,2,2,2,1
06037216700,0,0,0,0,1
06037216800,2,2,2,2,1
06037216900,0,0,0,2,0
06037217001,2,2,2,2,1
06037217002,2,2,2,2,1
06037217100,0,0,0,4,0
06037217200,0,0,0,4,0
06037218110,4,4,4,4,1
06037218120,4,4,4,4,1
06037218210,0,0,4,4,0
06037218220,0,0,0,4,0
06037218300,0,0,0,0,1
06037218400,0,0,0,0,1
06037218500,0,0,0,0,1
06037218600,0,0,0,0,1
06037218701,0,0,0,0,1
06037218702,0,0,0,0,1
06037218800,0,0,0,0,1
06037218900,0,0,0,0,1
06037219010,0,0,0,0,1
06037219020,0,0,0,0,1
06037219300,0,0,0,0,1
06037219500,3,3,3,0,0
06037219700,0,0,0,0,1
06037219800,0,0,0,4,0
06037219901,0,0,0,1,0
06037219902,0,0,0,4,0
06037220000,0,0,0,0,1
06037220100,0,0,0,0,1
06037221110,1,1,1,1,1
06037221120,1,1,1,1,1
06037221210,1,1,1,4,0
06037221220,1,1,1,1,1
06037221302,4,4,4,4,1
06037221303,4,4,4,4,1
06037221304,4,4,4,4,1
06037221401,0,0,0,0,1
06037221402,0,0,0,4,0
06037221500,0,0,4,4,0
06037221601,1,1,1,4,0
06037221602,1,1,1,1,1
06037221710,1,1,1,1,1
06037221810,4,4,4,4,1
06037221820,4,4,4,4,1
06037221900,4,4,4,4,1
06037222001,0,0,0,0,1
06037222002,0,0,0,0,1
06037222100,0,0,0,0,1
06037222200,0,0,0,4,0
06037222500,0,0,0,1,0
06037222600,0,0,0,4,0
06037224010,1,1,1,4,0
06037224020,1,1,1,1,1
06037224200,1,1,1,4,0
06037224310,1,1,1,4,0
06037224320,1,1,1,1,1
06037224410,1,1,4,4,0
06037224420,1,1,4,4,0
06037224600,1,1,1,1,1
06037226001,1,1,1,1,1
06037226002,1,1,1,4,0
06037226410,1,1,1,1,1
06037226420,1,1,1,1,1
06037226700,1,1,1,1,1
06037227010,1,1,1,1,1
06037227020,1,1,1,1,1
06037228100,1,1,1,1,1
06037228210,0,1,1,1,0
06037228220,0,1,1,1,0
06037228310,0,1,1,1,0
