geoid,1980,1990,2000,2010,Sequence
06037296401,3,3,3,2,0
06037296402,3,3,3,3,3
06037296500,1,1,4,4,0
06037296600,1,4,4,1,2
06037296901,4,4,4,4,1
06037296902,4,4,4,4,1
06037297000,3,2,2,2,0
06037297110,4,4,4,0,0
06037297120,4,4,4,4,1
06037297201,4,3,3,4,2
06037297202,4,3,3,3,0
06037297300,3,3,3,3,3
06037297400,3,2,2,2,0
06037297500,3,3,2,3,2
06037297601,2,2,3,3,0
06037297602,2,2,3,3,0
06037300100,3,3,3,3,3
06037300200,3,3,3,3,3
06037300301,3,3,3,3,3
06037300400,3,3,3,3,3
06037300501,3,2,3,3,2
06037300502,3,2,2,4,2
06037300600,2,2,2,2,1
06037300701,2,2,2,2,1
06037300702,2,2,2,2,1
06037300800,2,2,2,3,0
06037300901,2,2,2,2,1
06037300902,2,2,2,3,0
06037301000,2,2,2,2,1
06037301100,2,2,2,2,1
06037301203,2,2,2,2,1
06037301204,2,2,4,4,0
06037301205,3,2,3,3,2
06037301206,3,2,3,4,2
06037301300,2,2,2,2,1
06037301400,3,2,2,2,0
06037301501,3,4,3,2,2
06037301502,3,4,4,4,0
06037301601,4,4,4,4,1
06037301602,4,4,4,4,1
06037301701,3,4,3,2,2
06037301702,3,4,4,4,0
06037301801,4,4,4,4,1
06037301802,4,4,4,4,1
06037301900,2,2,4,4,0
06037302002,2,2,4,4,0
06037302003,2,4,4,4,0
06037302004,2,4,4,4,0
06037302102,2,4,4,4,0
06037302103,4,4,4,4,1
06037302104,4,4,4,4,1
06037302201,4,4,4,4,1
06037302202,4,4,4,4,1
06037302301,4,4,4,4,1
06037302302,4,4,4,4,1
06037302401,4,4,4,4,1
06037302503,4,4,4,4,1
06037302504,4,4,4,4,1
06037302505,4,4,4,4,1
06037302506,4,4,4,3,0
06037310100,3,3,2,2,0
06037310201,3,2,3,3,2
06037310202,3,2,3,2,2
06037310300,3,3,3,2,0
06037310400,3,3,3,3,3
06037310501,1,1,1,4,0
06037310601,3,3,4,3,2
06037310602,3,3,4,2,2
06037310701,4,4,4,2,0
06037310702,4,4,4,4,1
06037310703,4,4,4,4,1
06037310800,3,3,3,3,3
06037310900,3,3,3,3,3
06037311000,3,3,3,3,3
06037311100,3,3,3,3,3
06037311200,3,3,3,3,3
06037311300,3,3,3,3,3
06037311400,3,3,3,2,0
06037311500,3,2,2,3,2
06037311600,2,2,2,2,1
06037311700,3,2,2,2,0
06037311801,4,4,4,4,1
06037311802,4,4,4,4,1
06037320100,3,1,1,1,0
06037320201,1,1,1,1,1
06037320202,1,1,1,1,1
06037320300,1,1,1,1,1
06037400204,3,3,3,3,3
06037400205,3,3,2,2,0
06037400206,3,3,3,2,0
06037400207,3,3,3,3,3
06037400302,3,3,3,3,3
06037400304,3,3,3,3,3
06037400402,3,3,3,3,3
06037400403,3,3,3,3,3
06037400404,3,3,3,3,3
06037400501,3,3,3,2,0
06037400603,3,3,3,3,3
06037400604,3,3,4,3,2
06037400800,3,2,2,2,0
06037400900,3,3,3,3,3
06037401001,3,3,3,3,3
06037401002,3,3,3,3,3
06037401101,3,3,3,3,3
06037401102,3,3,3,3,3
06037401201,3,3,3,3,3
06037401202,3,3,3,3,3
06037401203,3,3,3,3,3
06037401303,3,3,3,3,3
06037401304,3,3,3,3,3
06037401311,3,3,3,3,3
06037401312,3,3,3,3,3
06037401500,3,3,3,3,3
06037401601,3,3,3,3,3
06037401602,3,3,3,3,3
06037401603,3,3,3,3,3
06037401701,3,3,2,2,0
06037401703,3,3,4,4,0
06037401704,3,3,3,3,3
06037401800,3,3,3,2,0
06037401902,2,2,2,2,1
06037402001,3,3,3,1,0
06037402002,3,3,3,3,3
06037402101,0,1,1,1,0
06037402102,3,3,3,0,0
06037402200,3,3,3,3,3
06037402301,1,1,1,1,1
06037402303,4,1,1,1,0
06037402304,4,1,1,1,0
06037402402,3,4,4,4,0
06037402403,1,3,3,3,0
06037402405,0,1,1,1,0
06037402406,0,1,1,1,0
06037402501,1,1,1,1,1
06037402502,1,1,1,1,1
06037402600,3,3,1,1,0
06037402702,3,1,1,1,0
06037402703,3,3,1,1,0
06037402705,3,3,3,3,3
06037402706,3,3,3,1,0
06037402801,1,1,1,1,1
06037402803,1,1,1,1,1
06037402804,1,1,1,1,1
06037402902,1,1,1,1,1
06037402903,1,1,1,1,1
06037402904,1,1,1,1,1
06037403000,1,1,1,1,1
06037403303,3,3,3,3,3
06037403312,3,3,3,3,3
06037403316,3,3,3,3,3
06037403317,3,3,3,3,3
06037403318,3,3,3,3,3
06037403319,2,3,3,3,0
06037403320,2,3,3,3,0
06037403321,2,3,3,3,0
06037403322,3,3,3,3,3
06037403323,3,3,3,3,3
06037403325,3,3,3,3,3
06037403401,3,3,3,3,3
06037403402,3,3,3,3,3
06037403403,3,3,3,3,3
06037403404,3,3,3,3,3
06037403405,3,3,3,3,3
06037403406,3,3,3,3,3
06037403407,3,3,3,3,3
06037403408,3,3,3,3,3
06037403500,3,2,3,3,2
06037403600,3,3,3,3,3
06037403702,3,3,3,3,3
06037403703,3,3,3,3,3
06037403721,3,3,3,3,3
06037403722,3,3,3,4,0
06037403801,3,3,3,3,3
06037403802,3,3,3,3,3
06037403901,3,3,3,3,3
06037403902,3,3,3,3,3
06037404000,3,3,3,3,3
06037404100,3,1,1,1,0
06037404201,4,4,1,1,0
06037404202,4,4,1,4,2
06037404301,1,1,1,1,1
06037404302,1,1,1,1,1
06037404401,1,1,1,1,1
06037404402,1,1,1,1,1
06037404501,1,1,1,1,1
06037404503,1,1,1,3,0
06037404504,1,1,1,1,1
06037404600,1,1,1,1,1
06037404701,1,1,1,1,1
06037404702,1,1,1,1,1
06037404703,1,1,1,1,1
06037404801,1,1,1,1,1
06037404802,1,1,1,1,1
06037404803,1,1,1,1,1
06037404901,1,1,1,1,1
06037404902,1,1,1,1,1
06037404903,1,1,1,1,1
06037405001,1,1,1,1,1
06037405002,1,1,1,1,1
06037405101,1,1,1,1,1
06037405102,1,1,1,1,1
06037405201,1,1,1,1,1
06037405202,1,1,1,1,1
06037405203,1,1,1,1,1
06037405301,3,3,3,4,0
06037405302,3,3,3,3,3
06037405400,3,3,3,3,3
06037405500,3,3,3,3,3
06037405600,3,3,3,3,3
06037405701,3,3,3,3,3
06037405702,3,3,3,3,3
06037405800,3,3,3,3,3
06037405900,3,3,3,3,3
06037406000,3,3,3,3,3
06037406101,3,3,3,3,3
06037406102,3,3,3,3,3
06037406200,3,3,3,4,0
06037406300,2,2,3,3,0
06037406402,3,3,3,3,3
06037406411,3,3,3,3,3
06037406412,3,3,3,3,3
06037406500,3,3,3,3,3
06037406601,3,3,3,3,3
06037406602,3,3,3,3,3
06037406701,3,3,3,3,3
06037406702,3,3,3,1,0
06037406800,3,3,3,3,3
06037406901,3,1,1,1,0
06037406902,3,1,1,1,0
06037407002,1,1,1,1,1
06037407101,1,1,1,1,1
06037407102,1,1,1,1,1
06037407200,1,1,1,1,1
06037407301,1,1,1,3,0
06037407302,1,1,1,1,1
06037407400,3,3,3,3,3
06037407501,1,1,1,1,1
06037407502,1,1,1,1,1
06037407601,1,1,1,1,1
06037407602,1,1,1,1,1
06037407701,1,1,1,1,1
06037407702,1,1,1,3,0
06037407801,3,3,1,3,2
06037407802,3,3,1,1,0
06037407900,3,3,3,3,3
06037408003,3,3,3,3,3
06037408004,3,3,3,3,3
06037408133,4,3,4,4,2
06037408134,4,3,3,3,0
06037408135,4,3,3,3,0
06037408136,3,3,3,3,3
06037408137,3,3,3,4,0
06037408138,1,1,1,1,1
06037408139,1,1,1,1,1
06037408140,1,1,1,1,1
06037408141,1,1,1,1,1
06037408202,1,1,1,1,1
06037408211,3,3,4,4,0
06037408212,3,3,3,3,3
06037408301,1,1,1,1,1
06037408302,3,3,3,3,3
06037408303,3,3,3,3,3
06037408401,3,3,3,3,3
06037408402,3,3,3,3,3
06037408501,1,1,1,3,0
06037408503,3,3,3,3,3
06037408504,4,3,3,3,0
06037408505,4,3,3,3,0
06037408623,3,3,3,3,3
06037408624,3,3,3,3,3
06037408625,3,3,3,3,3
06037408626,4,4,4,4,1
06037408627,4,3,3,3,0
06037408628,4,3,3,3,0
06037408629,4,3,3,3,0
06037408630,3,3,3,3,3
06037408631,3,3,3,3,3
06037408703,3,3,3,3,3
06037408704,3,3,3,4,0
06037408705,3,3,3,3,3
06037408706,3,3,3,3,3
06037408722,3,3,3,3,3
06037408723,3,4,4,3,2
06037408724,3,4,4,4,0
06037408800,4,1,1,1,0
06037430002,3,3,3,3,3
06037430003,3,3,3,3,3
06037430101,3,3,3,3,3
06037430102,1,1,1,3,0
06037430200,3,2,2,2,0
06037430301,3,3,3,2,0
06037430302,3,3,3,3,3
06037430400,2,2,3,3,0
06037430501,2,2,2,2,1
06037430502,2,2,2,2,1
06037430600,2,2,2,2,1
06037430701,2,2,2,2,1
06037430721,2,2,2,2,1
06037430723,2,2,4,4,0
06037430724,2,2,4,4,0
06037430801,3,4,4,3,2
06037430802,3,3,3,3,3
06037430803,3,2,3,3,2
06037430901,3,3,3,3,3
06037430902,3,3,3,3,3
06037431001,3,3,3,4,0
06037431002,3,2,3,3,2
06037431100,0,1,1,3,2
06037431200,1,1,1,1,1
06037431400,3,3,3,3,3
06037431501,3,3,3,3,3
06037431502,3,3,3,3,3
06037431600,3,2,3,2,2
06037431700,3,2,2,2,0
06037431800,3,3,3,4,0
06037431900,3,2,3,4,2
06037432000,3,3,3,3,3
06037432101,3,3,3,3,3
06037432102,3,3,3,3,3
06037432201,3,3,3,4,0
06037432202,3,3,3,3,3
06037432300,3,3,3,3,3
06037432401,1,1,1,4,0
06037432402,1,1,1,1,1
06037432500,3,3,3,3,3
06037432601,3,1,1,3,2
06037432602,3,1,1,3,2
06037432700,1,1,1,1,1
06037432801,1,1,1,4,0
06037432802,1,1,1,4,0
06037432901,3,3,4,3,2
06037432902,3,3,3,3,3
06037433101,1,1,1,3,0
06037433102,1,1,1,4,0
06037433200,1,1,1,1,1
06037433401,1,1,1,1,1
06037433402,1,1,1,1,1
06037433403,1,1,1,1,1
06037433501,1,1,1,1,1
06037433503,1,1,1,1,1
06037433504,1,1,1,1,1
06037433601,1,3,3,4,2
06037433602,1,1,3,4,2
06037433700,1,1,1,1,1
06037433901,1,1,1,1,1
06037433902,1,1,1,1,1
06037434001,1,1,1,1,1
06037434003,1,1,1,1,1
06037434004,1,1,1,3,0
06037460000,3,2,2,2,0
06037460100,2,2,2,2,1
06037460200,3,3,3,3,3
06037460301,0,0,3,3,0
06037460302,0,0,0,0,1
06037460401,3,3,3,3,3
06037460501,2,2,2,2,1
06037460502,3,2,2,2,0
06037460600,2,2,2,2,1
06037460700,2,2,2,2,1
06037460800,2,2,2,2,1
06037460900,0,0,0,0,1
06037461000,0,0,0,0,1
06037461100,0,0,0,3,0
06037461200,3,2,2,2,0
06037461300,3,3,3,2,0
06037461400,3,2,2,2,0
06037461501,0,0,0,3,0
06037461502,0,0,0,1,0
06037461600,0,0,0,0,1
06037461700,2,2,2,2,1
06037461901,4,4,4,4,1
06037461902,4,4,4,4,1
06037462001,0,0,1,4,2
06037462002,0,0,1,4,2
06037462100,4,4,4,4,1
06037462201,4,4,4,4,1
06037462202,4,4,4,4,1
06037462301,4,4,4,4,1
06037462302,4,4,4,4,1
06037462400,3,3,3,3,3
06037462500,3,3,3,2,0
06037462600,3,3,2,2,0
06037462700,4,3,3,2,2
06037462800,3,3,3,3,3
06037462900,3,3,3,3,3
06037463000,2,2,2,2,1
06037463101,3,3,3,3,3
06037463102,3,2,3,3,2
06037463200,2,2,2,2,1
06037463300,2,2,2,2,1
06037463400,2,2,2,2,1
06037463500,2,2,2,2,1
06037463601,2,2,2,2,1
06037463602,2,2,2,2,1
06037463700,2,2,2,2,1
06037463800,2,2,2,2,1
06037463900,2,2,2,2,1
06037464000,2,2,2,2,1
06037464100,2,2,2,2,1
06037464200,2,2,2,2,1
06037480002,3,3,3,2,0
06037480011,3,3,4,4,0
06037480012,3,3,3,3,3
06037480101,3,3,3,3,3
06037480102,3,3,3,3,3
06037480201,3,2,3,3,2
06037480202,3,2,3,3,2
06037480302,4,4,4,4,1
06037480303,4,4,4,4,1
06037480304,4,4,4,4,1
06037480400,2,2,3,3,0
06037480500,2,2,2,2,1
06037480600,2,2,2,2,1
06037480702,3,2,2,2,0
06037480703,2,2,2,2,1
06037480704,2,2,2,3,0
06037480802,3,3,3,3,3
06037480803,4,4,3,3,0
06037480804,4,4,4,4,1
06037480901,4,4,4,4,1
06037480902,4,4,4,4,1
06037480903,4,4,3,4,2
06037481001,4,4,4,4,1
06037481002,4,4,4,4,1
06037481101,4,4,4,4,1
06037481102,4,4,4,4,1
06037481103,4,4,3,3,0
06037481201,3,3,3,4,0
06037481202,3,3,3,4,0
06037481300,3,3,3,3,3
06037481401,3,4,4,4,0
06037481402,3,4,4,4,0
06037481500,3,3,3,3,3
06037481603,4,4,4,4,1
06037481604,4,4,4,4,1
06037481605,4,4,4,4,1
06037481606,4,4,4,4,1
06037481711,4,4,4,4,1
06037481712,4,4,4,4,1
06037481713,4,4,4,4,1
06037481714,4,4,4,4,1
06037481800,3,3,3,3,3
06037481901,3,3,3,3,3
06037481902,4,4,4,3,0
06037482001,3,3,3,3,3
06037482002,4,4,3,4,2
06037482101,4,4,4,4,1
06037482102,3,3,3,3,3
06037482201,4,4,4,4,1
06037482202,4,4,4,4,1
06037482301,1,4,4,4,0
06037482303,1,1,4,4,0
06037482304,1,1,1,4,0
06037482401,1,1,1,3,0
06037482402,4,3,3,3,0
06037482502,1,1,4,4,0
06037482503,1,1,4,4,0
06037482521,4,3,3,3,0
06037482522,4,4,3,3,0
06037482600,3,3,3,3,3
06037482701,3,3,3,3,3
06037482702,3,3,3,3,3
06037482800,3,3,3,3,3
06037500100,2,2,2,2,1
06037500201,3,3,3,3,3
06037500202,2,2,2,2,1
06037500300,2,3,3,3,0
06037500402,1,1,1,1,1
06037500403,1,1,3,1,2
06037500404,1,1,3,3,0
06037500500,1,3,1,3,2
06037500600,1,1,1,1,1
06037500700,1,1,1,1,1
06037500800,1,1,1,1,1
06037500900,1,1,1,1,1
06037501001,3,1,1,1,0
06037501002,3,1,1,3,2
06037501200,3,3,3,3,3
06037501300,3,3,3,3,3
06037501400,1,1,1,1,1
06037501501,2,3,3,3,0
06037501503,2,4,3,4,2
06037501504,2,4,4,4,0
06037501700,3,3,3,3,3
06037501802,4,4,3,3,0
06037501803,4,4,1,1,0
06037501804,4,4,1,4,2
06037501900,3,3,3,3,3
06037502003,1,1,1,1,1
06037502004,1,1,1,1,1
06037502005,3,3,3,3,3
06037502100,3,3,3,3,3
06037502200,3,3,3,3,3
06037502301,1,1,3,1,2
06037502302,1,1,1,1,1
06037502401,1,1,1,3,0
06037502402,1,1,1,1,1
06037502500,3,1,1,1,0
06037502601,1,1,3,1,2
06037502602,4,1,1,1,0
06037502700,1,1,1,1,1
06037502801,3,3,3,3,3
06037502802,3,3,3,4,0
06037502902,1,1,1,1,1
06037503103,1,1,1,1,1
06037503104,1,1,1,1,1
06037503105,3,3,1,1,0
06037503106,3,3,1,3,2
06037503201,3,3,3,3,3
06037503202,3,3,3,3,3
06037503301,3,3,3,3,3
06037503302,3,3,3,3,3
06037503401,3,3,3,3,3
06037503402,3,3,3,3,3
06037503501,3,3,3,3,3
06037503502,3,3,3,3,3
06037503601,3,3,3,3,3
06037503602,3,3,3,3,3
06037503701,3,3,3,3,3
06037503702,3,3,3,3,3
06037503703,3,2,3,3,2
06037503801,3,3,3,3,3
06037503802,3,3,3,3,3
06037503901,3,3,3,3,3
06037503902,3,3,3,3,3
06037504001,3,2,3,3,2
06037504002,3,3,3,3,3
06037504101,1,3,3,3,0
06037530003,3,3,3,3,3
06037530004,3,3,3,3,3
06037530005,4,3,3,3,0
06037530006,4,3,4,4,2
06037530101,1,1,1,1,1
06037530102,3,3,3,3,3
06037530202,3,3,3,3,3
06037530203,1,1,1,4,0
06037530204,1,1,1,1,1
06037530301,1,1,1,4,0
06037530302,1,1,1,1,1
06037530400,1,1,1,1,1
06037530500,1,1,1,1,1
06037530601,1,1,1,1,1
06037530602,1,1,1,1,1
06037530700,1,1,1,1,1
06037530801,1,1,1,1,1
06037530802,1,1,1,1,1
06037530901,1,1,1,1,1
06037530902,1,1,1,1,1
06037531000,1,1,1,1,1
06037531101,1,1,1,1,1
06037531102,1,1,1,1,1
06037531201,1,1,1,1,1
06037531202,1,1,1,1,1
06037531301,1,1,1,1,1
06037531302,1,1,1,1,1
06037531502,1,1,1,1,1
06037531503,1,1,1,1,1
06037531504,1,1,1,1,1
06037531602,1,1,1,1,1
06037531603,1,1,1,1,1
06037531604,1,1,1,1,1
06037531701,1,1,1,1,1
06037531702,1,1,1,1,1
06037531800,1,1,1,1,1
06037531901,1,1,1,1,1
06037531902,1,1,1,1,1
06037532001,1,1,1,1,1
06037532002,1,1,1,1,1
06037532101,1,1,1,1,1
06037532102,1,1,1,1,1
06037532200,1,1,1,1,1
06037532302,1,1,1,1,1
06037532303,1,1,1,1,1
06037532304,1,1,1,1,1
06037532500,1,1,1,1,1
06037532603,1,1,1,1,1
06037532604,1,1,1,1,1
06037532605,1,1,1,1,1
06037532606,1,1,1,1,1
06037532700,1,1,1,1,1
06037532800,1,1,1,1,1
06037532900,1,1,1,1,1
06037533103,1,1,1,1,1
06037533104,1,1,1,1,1
06037533105,1,1,1,1,1
06037533106,1,1,1,1,1
06037533107,1,1,1,1,1
06037533201,1,1,1,1,1
06037533202,1,1,1,1,1
06037533203,1,1,1,1,1
06037533300,1,1,1,1,1
06037533401,1,1,1,1,1
06037533402,1,1,1,1,1
06037533403,1,1,1,1,1
06037533501,1,1,1,1,1
06037533502,1,1,1,1,1
06037533503,1,1,1,1,1
06037533601,1,1,1,1,1
06037533602,1,1,1,1,1
06037533603,1,1,1,1,1
06037533701,1,1,1,1,1
06037533702,1,1,1,1,1
06037533703,1,1,1,1,1
06037533803,1,1,1,1,1
06037533804,1,1,1,1,1
06037533805,1,1,1,1,1
06037533806,1,1,1,1,1
06037533901,1,1,1,1,1
06037533902,1,1,1,1,1
06037534001,1,1,1,1,1
06037534002,1,1,1,1,1
06037534101,1,1,1,1,1
06037534102,1,1,1,1,1
06037534201,1,1,1,1,1
06037534202,1,1,1,1,1
06037534203,1,1,1,1,1
06037534301,1,1,1,1,1
06037534302,1,1,1,1,1
06037534403,1,1,1,1,1
06037534404,1,1,1,1,1
06037534405,1,1,1,1,1
06037534406,1,1,1,1,1
06037534501,1,1,1,1,1
06037534502,1,1,1,1,1
06037534700,1,1,1,1,1
06037534802,1,1,1,1,1
06037534803,1,1,1,1,1
06037534804,1,1,1,1,1
06037534900,1,1,1,1,1
06037535001,1,1,1,1,1
06037535002,1,1,1,1,1
06037535101,0,1,1,1,0
06037535102,0,0,0,1,0
06037535200,0,0,1,1,0
06037535300,1,1,1,1,1
06037535400,0,1,1,1,0
06037535501,1,1,1,1,1
06037535502,1,1,1,1,1
06037535503,1,1,1,1,1
06037535603,1,1,1,1,1
06037535604,1,1,1,1,1
06037535605,1,1,1,1,1
06037535606,1,1,1,1,1
06037535607,1,1,1,1,1
06037535701,1,1,1,1,1
06037535702,1,1,1,1,1
06037535802,1,1,1,1,1
06037535803,1,1,1,1,1
06037535804,1,1,1,1,1
06037535901,3,1,1,1,0
06037535902,3,1,1,1,0
06037536000,1,1,1,1,1
06037536102,3,1,3,1,2
06037536103,3,1,1,1,0
06037536104,3,1,1,1,0
06037536200,3,3,1,1,0
06037540000,1,1,1,1,1
06037540101,1,1,1,1,1
06037540102,0,1,1,1,0
06037540201,1,1,1,1,1
06037540202,1,1,1,1,1
06037540203,1,1,1,1,1
06037540300,1,1,1,1,1
06037540501,1,1,1,1,1
06037540502,1,1,1,1,1
06037540600,0,0,0,0,1
06037540700,0,0,0,0,1
06037540800,0,0,0,0,1
06037540901,0,0,0,0,1
06037540902,0,0,0,0,1
06037541001,0,0,0,0,1
06037541002,3,3,0,0,0
06037541100,0,0,0,0,1
06037541200,0,0,0,0,1
06037541300,0,0,0,0,1
06037541400,0,1,1,1,0
06037541500,1,1,1,1,1
06037541603,0,1,1,1,0
06037541604,0,1,1,1,0
06037541605,0,0,1,1,0
06037541606,0,0,1,1,0
06037541700,0,1,1,1,0
06037541801,1,1,1,1,1
06037541802,1,1,1,1,1
06037542106,0,1,1,1,0
06037542200,0,0,1,0,2
06037542401,0,0,0,0,1
06037542402,0,0,0,0,1
06037542501,0,0,0,0,1
06037542502,0,0,0,0,1
06037542601,1,1,1,1,1
06037542602,1,1,1,0,0
06037542700,0,0,0,1,0
06037542800,0,0,0,0,1
06037542900,1,1,1,1,1
06037543000,0,0,0,0,1
06037543100,0,0,0,0,1
06037543201,0,0,0,0,1
06037543202,0,0,1,1,0
06037543304,0,3,0,0,2
06037543305,0,3,3,3,0
06037543306,3,3,3,3,3
06037543321,0,3,0,3,2
06037543322,3,0,0,0,0
06037543400,1,1,3,3,0
06037543501,3,3,3,4,0
06037543502,1,3,3,4,2
06037543503,3,3,3,3,3
06037543601,4,3,3,3,0
06037543602,4,3,3,3,0
06037543603,3,3,3,3,3
06037543604,3,3,3,3,3
06037543701,1,3,3,3,0
06037543702,1,3,3,3,0
06037543703,3,3,3,3,3
06037543801,3,3,3,3,3
06037543802,3,3,4,3,2
06037543903,3,3,3,3,3
06037543905,1,1,1,1,1
06037544001,3,3,1,1,0
06037544002,3,3,1,3,2
06037550000,3,3,3,3,3
06037550100,3,3,3,1,0
06037550201,3,3,3,1,0
06037550202,3,3,3,3,3
06037550300,3,3,3,3,3
06037550400,3,3,3,3,3
06037550500,3,3,3,3,3
06037550601,3,3,3,3,3
06037550602,3,3,3,3,3
06037550700,3,3,3,3,3
06037550800,3,3,3,3,3
06037550901,3,3,4,4,0
06037550902,3,3,4,4,0
06037551000,3,3,3,3,3
06037551101,4,4,1,1,0
06037551102,4,4,1,1,0
06037551201,3,3,3,3,3
06037551202,3,3,3,3,3
06037551300,3,3,4,1,2
06037551401,3,3,3,1,0
06037551402,3,3,3,3,3
06037551501,3,3,3,3,3
06037551502,3,3,3,1,0
06037551700,3,3,1,1,0
06037551800,3,3,3,1,0
06037551900,3,3,3,1,0
06037552001,3,3,3,3,3
06037552002,3,3,3,1,0
06037552100,3,3,3,1,0
06037552200,1,1,1,1,1
06037552301,3,3,3,1,0
06037552302,3,3,3,3,3
06037552400,1,1,1,1,1
06037552601,1,1,1,1,1
06037552602,1,1,3,3,0
06037552700,3,3,1,1,0
06037552800,3,3,1,1,0
06037552900,3,3,3,3,3
06037553000,3,3,3,3,3
06037553100,3,3,3,3,3
06037553200,3,3,3,3,3
06037553300,3,3,3,3,3
06037553400,1,1,1,1,1
06037553502,1,1,1,1,1
06037553503,1,1,1,1,1
06037553504,1,1,1,1,1
06037553601,1,1,1,1,1
06037553602,1,1,1,4,0
06037553701,1,1,1,1,1
06037553702,1,1,1,1,1
06037553801,1,1,1,1,1
06037553802,1,1,1,1,1
06037553901,1,1,1,1,1
06037553902,1,1,1,1,1
06037554001,3,3,3,3,3
06037554002,3,3,3,4,0
06037554101,3,4,1,1,2
06037554103,3,4,4,3,2
06037554104,3,4,4,0,2
06037554105,3,4,4,4,0
06037554201,3,3,3,3,3
06037554203,3,3,4,3,2
06037554204,3,3,4,1,2
06037554301,3,3,1,1,0
06037554302,3,3,1,1,0
06037554403,3,3,4,4,0
06037554404,3,3,3,4,0
06037554405,3,3,3,4,0
06037554406,3,3,3,3,3
06037554511,3,3,3,3,3
06037554512,3,3,3,3,3
06037554513,3,3,3,3,3
06037554514,3,3,3,3,3
06037554515,3,3,3,3,3
06037554516,3,3,3,3,3
06037554517,3,3,3,3,3
06037554518,3,3,3,3,3
06037554519,3,3,3,3,3
06037554521,3,3,3,3,3
06037554522,3,3,3,3,3
06037554600,3,3,3,3,3
06037554700,1,1,1,1,1
06037554801,1,1,1,1,1
06037554802,3,3,3,3,3
06037554900,3,3,3,3,3
06037555001,3,3,3,3,3
06037555002,3,3,3,4,0
06037555102,4,4,4,4,1
06037555103,3,3,3,3,3
06037555104,3,3,3,3,3
06037555202,3,3,3,3,3
06037555211,1,1,1,1,1
06037555212,1,1,1,1,1
06037570001,3,3,3,3,3
06037570002,3,3,3,3,3
06037570003,3,3,3,3,3
06037570100,3,3,3,3,3
06037570202,3,3,1,1,0
06037570203,3,4,0,0,2
06037570204,3,4,1,1,2
06037570301,3,4,4,1,2
06037570303,3,4,1,1,2
06037570304,3,4,1,1,2
06037570402,0,0,0,0,1
06037570403,0,0,1,0,2
06037570404,0,0,1,1,0
06037570501,3,3,1,1,0
06037570502,3,3,1,1,0
06037570601,3,4,0,4,2
06037570602,3,4,4,4,0
06037570603,3,3,0,0,0
06037570701,3,3,3,3,3
06037570702,3,3,3,3,3
06037570800,3,3,3,3,3
06037570901,3,3,3,3,3
06037570902,3,3,3,3,3
06037571000,3,3,3,3,3
06037571101,3,3,3,3,3
06037571102,3,3,3,3,3
06037571200,3,3,3,3,3
06037571300,3,3,3,3,3
06037571400,3,3,3,3,3
06037571502,3,3,3,3,3
06037571503,3,3,3,3,3
06037571504,3,3,3,3,3
06037571600,0,0,0,0,1
06037571701,3,4,1,1,2
06037571703,3,4,4,0,2
06037571704,3,4,4,1,2
06037571800,2,2,2,2,1
06037571900,2,2,2,3,0
06037572001,3,2,3,3,2
06037572002,2,2,2,2,1
06037572100,3,3,3,3,3
06037572201,3,3,3,3,3
06037572202,3,3,3,3,3
06037572301,1,1,1,1,1
06037572302,1,1,1,1,1
06037572400,0,3,0,3,2
06037572500,4,0,0,0,0
06037572600,3,3,3,3,3
06037572700,4,3,3,3,0
06037572900,1,1,1,1,1
06037573002,4,4,0,1,2
06037573003,4,4,4,1,0
06037573004,4,4,4,4,1
06037573100,3,4,4,0,2
06037573201,0,0,1,1,0
06037573202,0,1,0,1,2
06037573300,0,0,4,4,0
06037573401,4,4,3,3,0
06037573402,4,4,4,4,1
06037573403,4,4,3,3,0
06037573601,3,3,3,3,3
06037573700,3,3,3,3,3
06037573800,3,3,3,3,3
06037573902,2,2,2,3,0
06037574100,3,3,3,3,3
06037574201,3,3,3,3,3
06037574202,3,3,3,3,3
06037574300,3,3,3,3,3
06037574400,3,3,3,3,3
06037574500,3,3,3,3,3
06037574602,2,2,2,2,1
06037574800,2,2,2,2,1
06037574901,3,3,3,3,3
06037574902,4,2,4,4,2
06037575001,3,2,3,4,2
06037575002,2,2,3,3,0
06037575101,4,4,4,4,1
06037575102,4,4,4,1,0
06037575103,4,4,4,4,1
06037575201,0,4,4,1,2
06037575202,0,4,1,1,2
06037575300,4,4,4,1,0
06037575401,1,1,1,1,1
06037575402,1,1,1,1,1
06037575801,4,4,1,1,0
06037575802,4,4,1,4,2
06037575803,4,4,4,4,1
06037575901,4,4,4,4,1
06037575902,4,4,4,4,1
06037576001,4,2,2,2,0
06037576200,4,4,4,4,1
06037576301,4,4,4,4,1
06037576302,4,4,4,4,1
06037576401,4,4,4,1,0
06037576402,4,4,1,1,0
06037576403,4,4,1,1,0
06037576501,4,4,4,4,1
06037576502,4,4,4,4,1
06037576503,4,4,4,4,1
06037576601,2,2,4,4,0
06037576602,2,2,2,2,1
06037576700,2,2,2,2,1
06037576801,2,2,4,4,0
06037576802,2,2,4,2,2
06037576901,4,4,4,4,1
06037576903,4,4,4,4,1
06037576904,4,4,4,4,1
06037577000,2,2,4,4,0
06037577100,2,2,2,2,1
06037577200,2,2,2,2,1
06037577300,2,2,2,2,1
06037577400,2,2,2,2,1
06037577501,2,2,2,2,1
06037577504,2,2,2,2,1
06037577602,2,2,2,2,1
06037577603,2,2,2,2,1
06037577604,2,2,2,2,1
