geoid,year,"% speaking other language at home, age 5+",% female-headed families with children,"Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income
6073020105,2000,17.02011963,15.19659936,83159.32859,64703.08422,165264.1855,30589.79715
6073020106,2000,24.78435883,8.098987627,56908.36299,56333.07117,145624.0939,27471.90866
6073020107,2000,16.0133698,6.659012629,-9999,77602.31317,86538.33711,36407.55635
6073020108,2000,54.03279786,17.74600505,35817.08897,49866.90154,71358.44889,15790.86358
6073020109,2000,29.78408129,7.470747075,85879.89324,64646.52076,105037.4744,23635.2503
6073020202,2000,56.3772776,20.20933977,64532.01423,45505.99644,30810.99248,14135.34757
6073020206,2000,52.52133437,15.07109005,37508.4745,54067.77343,59887.03764,17820.2503
6073020207,2000,52.18446602,20.79918033,37555.38078,40640.15896,26171.76053,16052.98695
6073020208,2000,29.44374739,10.28880866,98296.26335,71853.53381,82775.80071,23415.89442
6073020209,2000,38.69511695,14.42687747,100969.9217,51224.42467,24574.06584,20096.58482
6073020210,2000,23.74902774,17.27367326,67994.8019,83465.59905,84845.19573,24536.12693
6073020211,2000,38.5970431,14.23462089,50112.46975,43373.13998,54724.00159,21026.43298
6073020213,2000,62.28915783,18.39213492,22131.48981,32321.18965,41617.83217,10679.45766
6073020214,2000,62.28915573,18.39213363,22131.49,32321.19198,41617.83384,10679.45806
6073020304,2000,17.00869565,3.290993072,138169.3665,68487.31791,177299.7294,41205.79359
6073020305,2000,19.65862272,7.278020378,84500.29656,56437.92052,105769.0787,31369.26928
6073020306,2000,9.90735977,5.623242827,115720.5675,75346.6762,43112.39826,35048.65331
6073020307,2000,22.33308877,8.125,36214.41281,74260.93001,103469.7509,29250.20878
6073020308,2000,27.83458773,15.00488679,20491.14864,44941.74103,43917.16115,21994.91081
6073020309,2000,27.83458741,15.00488812,20491.1492,44941.74348,43917.15994,21994.90971
6073020401,2000,6.454282168,2.792553191,-9999,139857.9929,172449.5848,55967.47805
6073020403,2000,19.37943729,6.855277476,38185.85647,57969.27284,87036.31986,27269.10795
6073020404,2000,21.54308617,8.749040675,42989.6121,59351.62871,79013.26431,39209.5172
6073020405,2000,15.56469472,2.441505595,210164.9988,120275.9976,96226.86833,53853.93594
6073020500,2000,58.13638125,11.59563925,-9999,52310.16726,109856.7726,18536.26097
6073020601,2000,57.40926409,16.45193261,25437.00356,43112.3962,63806.34638,17978.90391
6073020602,2000,33.914184,13.84742952,30696.0261,48590.77461,86914.59075,22817.14947
6073020705,2000,15.47257127,5.393830782,172975.0459,82128.83768,77947.29193,33618.04439
6073020706,2000,13.038906,3.923972945,43112.39724,120218.0574,107780.9911,44356.79063
6073020707,2000,34.44340941,19.02874133,72428.82562,42019.75563,48860.7157,21567.23488
6073020708,2000,17.85207505,6.23340812,44306.29903,37172.99266,60357.4723,35549.41667
6073020709,2000,12.76449342,4.634464573,94534.1037,116524.8762,63691.38033,38312.78009
6073020710,2000,19.87612613,3.136531365,36214.41281,60357.35469,105194.2467,50869.86833
6073020801,2000,13.6229438,4.334121324,-9999,70290.44913,94847.27165,33146.18983
6073020805,2000,20.36665712,10.38062284,-9999,43929.11744,51469.56839,25343.19098
6073020806,2000,22.7953411,13.60946746,65844.01068,46216.48873,51734.87544,21688.63938
6073020807,2000,6.847068471,5.828220859,-9999,95422.56346,17244.95848,38435.56346
6073020809,2000,26.15780106,8.778267149,104173.8117,59792.86434,82037.10483,29714.68525
6073020810,2000,8.136625189,4.856193002,112140.7974,71168.1154,112736.6245,38108.04498
6073020811,2000,8.132468852,4.855408878,112141.8982,71174.77068,112755.4943,38109.9799
6073020902,2000,9.580293277,4.399332593,73660.80488,104445.0377,91973.11026,32277.04469
6073020903,2000,14.66930982,10.57930997,60366.51703,36214.10489,42765.19926,30982.02559
6073020904,2000,8.424678985,8.836206897,74153.32147,29546.82206,68979.83393,33920.14353
6073021000,2000,26.10053013,7.658643558,115541.2218,41880.41782,-9999,28727.34153
6073021100,2000,24.13322046,12.61830202,60557.04161,36360.54216,36998.27456,21928.02694
6073021202,2000,10.10764067,5.727265876,72886.07225,50665.28167,80934.82696,27211.78693
6073021204,2000,7.656869143,3.892018184,54061.0919,113172.3592,318816.6576,54168.70932
6073021205,2000,10.39555405,10.18702776,73660.80743,50010.3786,91973.10753,32777.838
6073021206,2000,10.39555393,10.1870279,73660.80837,50010.37813,91973.11388,32777.83835
6073021302,2000,21.34960524,5.893049774,12855.08185,48055.66944,62084.93935,33683.11751
6073021303,2000,18.15799362,3.785714396,173469.1012,176065.5025,148149.8625,44887.9371
6073021304,2000,13.93769971,5.162241722,-9999,182839.3255,75877.82034,51526.55759
6073021400,2000,25.60582832,10.34481288,83022.74661,47271.87835,58632.85835,36942.42685
6073021500,2000,25.10330813,6.619488688,275920.7153,196972.8597,141599.5542,73285.70573
6073021600,2000,14.7213751,1.756954612,44406.45789,56070.13517,31040.92527,38824.58525
6073021800,2000,9.897769517,4.369747899,111040.9775,84040.10785,87374.4563,72534.39553
6073021900,2000,47.36766431,25.2935036,53458.34287,34969.80607,38046.5993,16760.15822
6073022000,2000,66.07366575,20.42410714,43385.75344,33897.37866,51811.91502,18089.96058
6073022100,2000,22.3944014,10.75555556,275920.7153,61861.89356,104418.2236,46878.76272
